CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2	10316	2	0.9504	-163.038
2	10530	2	0.8964	-294.097
2	10895	2	0.8639	-278.108
2	1437	2	0.9478	-178.049
2	8	2	0.9499	-146.052
5	171	2	0.9448	-0.982
5	2090	2	0.8808	-0.982
5	223	2	0.9553	-2.007
5	3530	2	0.9241	-0.982
5	86	2	0.9402	0.000
6	1653	2	0.8805	174.026
6	1996	2	0.9202	173.020
6	730	2	0.925	206.052
8	10318	2	0.9702	-0.005
8	10895	2	0.9007	-132.056
8	1653	2	0.8862	0.000
8	1996	2	0.8656	-1.006
8	24	2	0.9421	-42.013
8	3081	2	0.9759	0.000
8	3108	2	0.9802	-0.982
8	54	2	0.9195	192.060
8	6983	2	0.943	-42.013
9	10555	2	0.8832	-91.015
9	10787	2	0.9236	-162.060
9	1599	2	0.8424	-125.043
9	161	2	0.8629	39.005
9	355	2	0.9516	30.009
9	7817	2	0.888	41.026
12	11021	11	0.9246	-192.065
12	12008	11	0.8611	-11.022
12	122	11	0.9105	326.066
12	1268	11	0.9286	-153.012
12	1478	11	0.8652	157.984
12	1837	11	0.9595	2.017
12	199	11	0.8671	-152.011
12	2001	11	0.9761	-10.021
12	2146	11	0.9322	5.978
12	2536	11	0.8884	-304.022
12	2597	11	0.9205	4.033
12	2630	11	0.9106	-10.021
12	267	11	0.9821	0.000
12	2806	11	0.9582	-10.021
12	3006	11	0.9454	-1.001
12	3174	11	0.9692	2.017
12	3691	11	0.9396	-344.071
12	4992	11	0.8675	-140.007
12	5324	11	0.9096	-98.013
12	563	11	0.963	0.000
12	583	11	0.9651	0.000
12	5843	11	0.892	-152.011
12	6621	11	0.977	-1.001
12	6749	11	0.8649	151.010
12	80	11	0.9458	0.000
13	326	57	0.8595	0.000
13	4102	57	0.8723	-42.004
13	754	57	0.853	42.018
21	171	2	0.9335	18.010
21	2090	2	0.871	18.010
21	3530	2	0.9117	18.010
21	79	2	0.9498	0.000
22	10335	11	0.8966	-152.011
22	141	11	0.8826	0.000
22	1660	11	0.8731	0.000
22	3832	11	0.938	-152.011
22	417	11	0.8669	0.000
22	4200	11	0.8867	26.039
22	5241	11	0.9279	-1.001
23	3075	133	0.5928	-58.002
24	10318	2	0.8996	42.008
24	1653	2	0.8591	42.013
24	3081	2	0.9023	42.013
24	3108	2	0.9156	41.031
24	6983	2	0.9645	0.000
25	10315	6	0.756	454.347
25	10425	6	0.9509	0.982
25	1049	6	0.9527	0.987
25	11333	6	0.9384	453.341
25	2302	6	0.8446	446.271
25	2515	6	0.921	-132.041
25	5423	6	0.7561	404.258
27	2382	194	0.9378	15.999
28	10318	2	0.8867	-0.005
28	10551	2	0.9499	-1.011
28	11151	2	0.9419	-146.057
28	404	2	0.8471	-162.056
28	4186	2	0.9497	149.046
29	1036	2	0.8438	41.026
29	60	2	0.9084	-30.009
30	1049	6	0.7843	0.000
30	325	6	1.0	0.000
30	710	6	0.8467	-15.999
31	10401	18	0.9717	0.000
31	10484	18	0.9374	130.039
31	11033	18	0.7956	-69.062
31	311	18	0.9096	-130.044
31	3494	18	0.8317	128.037
31	3496	18	0.9305	15.994
31	516	18	0.9416	0.000
31	576	18	0.8557	130.044
31	6372	18	0.8387	3.027
31	6791	18	0.7925	-46.008
31	6837	18	0.9198	30.009
31	6944	18	0.9246	0.000
31	7530	18	0.7965	10.021
31	8325	18	0.9364	-36.050
31	8880	18	0.927	160.049
33	257	275	0.9157	0.019
34	2650	475	0.8019	-30.010
34	430	475	0.8104	-30.010
34	6204	475	0.8159	-29.008
35	10919	194	0.9906	0.000
35	3704	194	0.9837	15.994
36	1007	11	0.9589	-154.018
36	10497	11	0.926	22.039
36	1268	11	0.8916	151.010
36	1482	11	0.9784	-10.016
36	199	11	0.9435	152.011
36	2091	11	0.9301	-1.001
36	2536	11	0.9325	0.000
36	260	11	0.9928	0.000
36	422	11	0.8743	152.011
36	512	11	0.9254	174.055
36	5657	11	0.9193	53.998
36	5843	11	0.9133	152.011
36	662	11	0.9583	-153.007
36	7941	11	0.9732	-10.016
36	80	11	0.8676	304.022
36	9435	11	0.9204	-344.071
39	5021	57	0.8992	82.058
39	754	57	0.8731	82.058
41	12008	11	0.8715	-9.015
41	122	11	0.8749	328.073
41	2554	11	0.9678	0.000
41	3156	11	0.9961	-151.005
42	1089	38	0.9219	-14.993
42	1112	38	0.8088	-30.010
42	194	38	0.8012	1.011
42	266	38	0.842	-45.002
42	493	38	0.8829	1.001
42	799	38	0.8532	-45.999
43	1754	36	0.6426	-265.697
43	252	36	0.7157	42.008
43	374	36	0.7507	0.000
43	55	36	0.9248	0.000
43	694	36	0.8225	-170.668
44	10170	15	0.7655	6.471
44	1078	15	0.7025	-37.511
44	114	15	0.7218	-8.502
44	1327	15	0.7934	-7.999
44	1391	15	0.7328	-133.579
44	1765	15	0.6895	-154.588
44	1901	15	0.7623	-14.011
44	1935	15	0.7231	-15.012
44	2290	15	0.7328	-133.579
44	2320	15	0.6823	-147.599
44	2380	15	0.6991	-141.080
44	2955	15	0.6844	-149.070
44	312	15	0.6906	-13.513
44	3273	15	0.6941	9.992
44	383	15	0.6847	-21.512
44	4729	15	0.7277	-14.499
44	487	15	0.7348	-1.001
44	5964	15	0.7624	6.989
44	600	15	0.8352	-29.511
44	669	15	0.6813	-21.512
44	7374	15	0.8359	-31.010
44	896	15	0.6823	-147.580
44	9317	15	0.6928	-148.591
44	964	15	0.715	7.501
48	1079	75	0.9501	10.974
48	11001	75	0.9718	-0.029
48	522	75	0.9273	-0.019
49	10350	55	0.9714	0.000
49	10469	55	0.8528	-15.994
49	107	55	0.9119	-130.039
49	1206	55	0.8695	14.016
49	157	55	0.9589	14.016
49	1909	55	0.884	-137.995
49	1948	55	0.817	-48.978
49	2094	55	0.9187	-130.039
49	2213	55	0.9107	-130.039
49	2462	55	0.9124	-15.994
49	2637	55	0.9128	-146.038
49	2732	55	0.9184	-116.038
49	2734	55	0.9312	0.000
49	282	55	0.8209	-15.994
49	2894	55	0.9381	-120.019
49	2904	55	0.9199	-176.047
49	3402	55	0.9315	-166.098
49	3690	55	0.9089	-164.082
49	3931	55	0.9119	-176.047
49	4366	55	0.8971	-276.087
49	5086	55	0.9325	-84.055
49	5500	55	0.9315	-166.098
49	5861	55	0.7936	-166.027
49	6614	55	0.9266	-131.045
49	7356	55	0.8216	-137.995
49	7716	55	0.8978	-312.160
49	8044	55	0.9566	13.014
49	827	55	0.843	-146.038
50	63	500	1.0	2.007
51	10327	15	0.7717	-21.009
51	10338	15	0.801	0.000
51	1082	15	0.7499	-91.048
51	1204	15	0.7633	-25.009
51	1266	15	0.7082	6.998
51	1321	15	0.7325	-42.032
51	1737	15	0.7574	-133.081
51	363	15	0.7074	-50.032
51	4645	15	0.7884	7.990
51	6153	15	0.6855	33.511
51	6543	15	0.8467	-21.009
51	84	15	0.782	7.999
51	89	15	0.835	-21.009
51	8937	15	0.7406	17.000
51	956	15	0.9489	47.009
52	113	38	0.8897	32.994
52	187	38	0.8996	149.051
52	1896	38	0.793	-45.007
52	283	38	0.8924	46.003
52	631	38	0.8503	-57.020
53	1050	38	0.8346	-0.019
53	1083	38	0.8245	-47.019
53	247	38	0.8145	-46.008
53	471	38	0.8398	-151.039
53	87	38	0.7665	14.011
54	10318	2	0.9604	-192.065
54	3081	2	0.9736	-192.060
55	1754	36	0.6663	-265.697
55	252	36	0.744	42.008
55	374	36	0.8077	0.000
55	694	36	0.8983	-170.668
56	10396	75	0.844	-192.079
56	10435	75	0.8824	-162.070
56	11001	75	0.9615	-146.071
56	151	75	0.9182	-30.009
56	522	75	0.9088	-146.062
56	565	75	0.8574	-192.070
56	97	75	0.8905	-162.051
59	1158	9	0.6619	60.019
59	116	9	0.6584	337.116
59	2082	9	0.7023	159.076
59	215	9	0.7362	0.000
59	269	9	0.6768	191.069
59	6133	9	0.6768	191.078
59	663	9	0.7027	351.117
59	888	9	0.6483	-18.992
59	903	9	0.6917	337.116
