G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	18.9000	18.9000	0	N/A	N/A	0	0	2	2	0	-822.4820	-1	824.4820	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3.0","main.cluster index_upperinput":"3.0"}	This Node is a Singleton	N/A	N/A	N/A	8.2000	8.2000	0	N/A	N/A	0	0	3	-1	0	-191.0150	-1	193.0150	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5.0","main.cluster index_upperinput":"5.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	21.1000	21.1000	0	N/A	N/A	0	0	5	2	0	-776.4740	-1	778.4740	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6.0","main.cluster index_upperinput":"6.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	17.3000	17.3000	0	N/A	N/A	0	0	6	2	0	-1142.5600	-1	1144.5600	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7.0","main.cluster index_upperinput":"7.0"}	This Node is a Singleton	N/A	N/A	N/A	17.3000	17.3000	0	N/A	N/A	0	0	7	-1	0	1003.5180	0	1003.5180	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8.0","main.cluster index_upperinput":"8.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	19.8000	19.8000	0	N/A	N/A	0	0	8	2	0	-968.5340	-1	970.5340	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9.0","main.cluster index_upperinput":"9.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	25.1000	25.1000	0	N/A	N/A	0	0	9	2	0	-864.4900	-1	866.4900	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11.0","main.cluster index_upperinput":"11.0"}	This Node is a Singleton	N/A	N/A	N/A	20.5000	20.5000	0	N/A	N/A	0	0	11	-1	0	-669.2160	-1	671.2160	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12.0","main.cluster index_upperinput":"12.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=11&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	9.2000	9.2000	0	N/A	N/A	0	0	12	11	0	-645.0890	-1	647.0890	0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d03b0a885a254d37bd6a61b74d1f30c6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13.0","main.cluster index_upperinput":"13.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=57&task=d03b0a885a254d37bd6a61b74d1f30c6&show=true	N/A	N/A	N/A	24.3000	24.3000	0	N/A	N/A	0	0	13	57	0	-1688.8180	-1	1690.8180	0
