CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2744	2966	1	0.8862	225.054
3352	7092	1	0.8565	76.008
1626	2996	1	0.8409	-144.031
4206	4269	1	0.8724	-228.033
4180	5388	1	0.8405	215.033
4944	5683	1	0.8705	-1.509
2966	4795	1	0.8996	-144.040
1891	6364	1	0.878	-1.001
4293	10525	1	0.8847	230.045
1047	8152	1	0.9102	-64.512
3790	4293	1	0.8637	-154.023
150	678	1	0.8522	0.000
147	1107	1	0.8682	0.000
1673	11490	1	0.9328	-144.021
438	1604	1	0.8522	-290.576
1643	5683	1	0.9144	60.483
5662	5779	1	0.8408	152.011
255	1626	1	0.9111	0.498
1673	3122	1	0.8523	-364.563
288	3541	1	0.8684	65.020
2551	4199	1	0.8726	-288.062
4266	6648	1	0.8411	144.031
288	1056	1	0.8595	-225.054
2762	7877	1	0.8808	-220.034
4218	11300	1	0.8717	79.011
255	10778	1	0.9746	0.503
1884	2673	1	0.9521	-130.039
1047	1604	1	0.9589	-65.523
1495	5779	1	0.8679	76.008
4944	10984	1	0.8579	64.014
2673	3426	1	0.878	292.579
2966	3426	1	0.8451	-144.040
2673	11300	1	0.9168	65.020
1056	3426	1	0.9101	162.037
5949	6571	1	0.8452	14.993
1884	4933	1	0.8416	81.526
1213	7357	1	0.8712	71.012
2472	5138	1	0.8785	16.497
5019	5779	1	0.8422	288.062
1495	1673	1	0.9291	-76.003
2742	11316	1	0.9704	0.010
1098	8152	1	0.9187	0.512
4106	7178	1	0.8614	296.569
1551	4293	1	0.8466	-230.045
6236	10917	1	0.8781	136.539
1056	1643	1	0.8673	99.048
1056	1626	1	0.8554	160.030
6865	11490	1	0.8576	289.082
150	5000	1	0.9052	1.011
1098	1604	1	0.9711	-0.498
4740	5779	1	0.868	-68.023
5138	11490	1	0.8514	8.009
1338	5683	1	0.8609	225.054
2803	3746	1	0.847	-73.009
1075	1884	1	0.853	-16.003
4206	4293	1	0.8557	-230.045
4377	6648	1	0.8992	0.000
4608	6460	1	0.8463	-288.560
1884	2643	1	0.9397	-76.013
5891	7843	1	0.8527	63.017
1098	3753	1	0.854	-63.511
4380	7843	1	0.8839	0.503
909	4180	1	0.9168	1.011
1643	2643	1	0.8475	-175.564
4546	5662	1	0.8955	-76.003
4313	4546	1	0.8561	15.994
255	2966	1	0.8839	146.546
3589	5870	1	0.8976	-152.030
2643	4795	1	0.8432	238.552
288	10778	1	0.9137	-65.020
1354	2002	1	0.8825	-288.565
3752	4269	1	0.8538	-163.004
1213	4380	1	0.8795	70.509
2762	4266	1	0.8607	152.011
1283	3147	1	0.9366	65.024
2551	3977	1	0.9355	-1.011
899	1354	1	0.9163	0.000
2096	3977	1	0.8869	1.001
1354	4180	1	0.8777	-144.031
1107	1906	1	0.9197	-24.036
255	1338	1	0.871	-225.054
3977	10917	1	0.8435	145.042
1021	2551	1	0.8495	289.072
2002	2551	1	0.8588	144.534
2679	5779	1	0.8939	146.560
2085	5019	1	0.8822	-220.034
2966	8469	1	0.8413	-16.003
150	11028	1	0.8591	-1.001
1986	2002	1	0.8658	-288.062
4163	4266	1	0.8685	76.008
438	2966	1	0.8504	81.023
6460	6534	1	0.8535	0.000
1604	1643	1	0.8734	164.570
2742	2966	1	0.9456	65.024
3426	8469	1	0.8975	128.037
1673	6865	1	0.8648	-433.103
2744	11316	1	0.8464	160.039
4019	6643	1	0.8423	-75.457
1354	2085	1	0.8552	68.023
261	899	1	0.9055	145.042
1626	2673	1	0.8874	-290.572
4225	5949	1	0.8661	15.999
3712	6534	1	0.8416	-144.529
2966	3753	1	0.8489	-434.612
5388	7843	1	0.8886	-144.021
2679	3122	1	0.8716	-370.014
1056	10984	1	0.8737	225.054
1950	3082	1	0.8545	146.560
2096	4387	1	0.862	-71.510
438	2643	1	0.8474	-301.570
2643	2744	1	0.9279	157.539
10778	11316	1	0.8535	81.028
3977	4180	1	0.9033	1.011
6571	11083	1	0.923	1.001
4293	4324	1	0.8534	-303.026
4824	8382	1	0.8547	228.033
4740	6460	1	0.8528	-288.560
3426	3646	1	0.8529	-81.013
1986	4387	1	0.9402	-217.050
899	3201	1	0.8488	-76.008
2451	2551	1	0.8485	288.565
2744	2837	1	0.8436	-290.586
5785	11722	1	0.9046	-0.498
1338	3646	1	0.8718	146.546
4608	5779	1	0.8559	-68.023
3712	4546	1	0.9308	0.000
2679	11490	1	0.9554	-149.472
4266	4377	1	0.8477	144.031
2762	3462	1	0.9002	76.003
1354	2551	1	0.8837	-144.031
3833	4721	1	0.8907	-64.996
2679	3712	1	0.8748	70.552
4163	5779	1	0.8493	220.039
1584	4293	1	0.8608	226.524
1495	11490	1	0.9007	-220.024
1354	3201	1	0.8475	-76.008
288	8152	1	0.8724	-289.566
2959	11490	1	0.8674	8.507
678	11028	1	0.9155	-1.001
1825	3776	1	0.9669	0.000
261	6571	1	0.9689	-1.001
1927	3646	1	0.8705	-16.018
288	1643	1	0.9139	-126.006
2966	2996	1	0.8805	-290.078
1884	10984	1	0.8733	225.557
678	4690	1	0.9056	0.508
255	2673	1	0.8645	-290.074
1021	6364	1	0.8429	-1.001
1075	4218	1	0.8645	-160.034
1551	3746	1	0.8485	2.994
4163	5662	1	0.879	68.028
5891	6236	1	0.9569	-0.503
909	4199	1	0.8554	-287.051
1056	1338	1	0.9508	-65.523
1213	1986	1	0.9004	143.528
288	8469	1	0.855	65.020
4106	6643	1	0.8443	220.039
3746	6643	1	0.8848	-3.497
2966	3833	1	0.9076	-144.040
1338	1604	1	0.9678	0.000
2412	3147	1	0.9411	0.000
1338	2744	1	0.9015	146.546
4380	4387	1	0.9584	-144.031
4180	6364	1	0.8449	-290.074
373	2639	1	0.862	223.037
1495	6648	1	0.8992	76.008
1075	4721	1	0.8509	81.540
3147	6855	1	0.8886	159.526
1076	3977	1	0.8992	0.000
438	8152	1	0.8678	-289.566
261	1986	1	0.9068	144.539
1338	1884	1	0.9525	65.020
2451	6364	1	0.8883	-1.509
3746	4269	1	0.8542	-231.027
3462	7877	1	0.8601	-296.037
2744	11300	1	0.8669	-146.546
1338	10778	1	0.8665	225.557
1098	1643	1	0.8857	164.072
2762	6534	1	0.8665	75.505
3201	4380	1	0.8665	2.486
261	2551	1	0.9699	1.011
1900	2472	1	0.8615	-236.536
4546	5119	1	0.8668	-212.054
704	11490	1	0.8825	2.021
1495	3712	1	0.9013	0.000
1626	10778	1	0.9191	0.005
4380	10917	1	0.9343	73.522
1338	10984	1	0.8831	290.576
899	1213	1	0.9003	-144.031
1927	4933	1	0.867	-16.018
1884	3646	1	0.8617	81.526
678	7605	1	0.9311	-1.001
1604	8152	1	0.9204	1.011
4313	5138	1	0.9237	-212.039
1626	2742	1	0.846	81.023
