row ID,row m/z,row retention time
2,824.482,18.9
3,193.015,8.2
5,778.474,21.1
6,1144.56,17.3
7,1003.518,17.3
8,970.534,19.8
9,866.49,25.1
11,671.216,20.5
12,647.089,9.2
13,1690.818,24.3
14,245.082,8.7
15,671.216,20.5
16,778.474,19.0
17,632.417,17.4
18,820.482,21.0
19,749.447,21.8
21,797.466,17.2
22,343.067,7.0
23,632.417,15.9
24,1012.547,23.1
25,795.455,19.0
26,541.177,17.9
27,866.457,19.2
28,970.534,18.5
29,922.514,25.5
30,794.468,14.8
31,581.164,15.5
32,779.456,20.6
33,1452.702,15.7
34,1721.809,25.7
35,850.458,21.3
36,951.111,11.9
37,1773.858,24.1
39,1730.858,22.4
41,649.096,9.2
42,1799.819,22.2
43,671.216,17.1
44,1051.96,20.9
45,764.458,16.0
48,1452.683,16.9
49,449.108,11.6
50,757.154,9.2
51,1063.48,20.8
52,1905.842,22.3
53,1682.78,19.3
54,778.474,19.0
55,671.216,17.1
56,1306.64,18.1
57,327.217,18.6
58,893.362,26.1
59,1889.848,20.8
60,952.524,24.7
61,1770.821,22.1
62,623.067,14.3
63,755.147,9.2
64,836.481,20.5
65,171.1,21.3
66,169.012,8.9
68,1128.59,21.5
69,881.153,11.8
70,411.133,11.9
71,1043.539,24.6
73,1482.692,17.1
75,629.112,12.3
76,317.028,13.5
77,305.068,13.1
78,465.068,12.0
79,797.466,19.9
80,647.089,10.8
81,850.492,24.2
82,209.119,21.2
83,841.477,19.6
84,1055.48,20.9
85,941.507,23.5
86,778.474,21.1
87,1668.77,18.6
88,441.08,11.1
89,1084.489,21.4
91,1132.59,18.6
93,986.533,17.4
94,609.085,11.0
95,495.078,5.5
96,169.012,1.7
97,1468.691,15.7
98,1626.761,17.8
99,866.49,22.0
100,1440.688,16.6
101,1813.83,22.4
103,573.275,22.0
104,1540.728,19.2
105,1709.82,18.7
106,1817.83,21.0
107,579.147,20.8
108,793.352,17.4
109,955.489,19.5
110,1088.508,20.5
112,471.056,11.8
113,1872.848,21.9
114,1060.462,21.0
116,1552.732,17.7
117,1724.798,21.2
118,1252.589,23.9
119,1860.811,23.7
120,658.431,19.3
122,321.023,8.9
123,289.069,7.1
125,1714.802,18.4
126,593.263,23.1
127,867.908,24.2
129,382.987,22.6
133,824.482,18.9
134,938.508,21.3
135,573.064,8.9
136,808.483,20.6
137,305.293,3.9
138,433.114,12.8
139,1101.551,20.7
141,343.067,2.9
142,1082.491,21.5
143,856.47,16.8
144,1100.559,16.8
147,729.146,9.8
148,678.133,8.5
149,765.44,17.4
150,577.135,8.3
151,1336.649,18.1
152,601.119,14.0
153,1871.9,25.8
155,658.431,27.0
156,1828.818,22.4
157,435.092,10.1
159,1008.481,21.0
161,827.485,24.2
162,332.074,9.1
163,206.082,9.7
164,332.074,6.6
165,840.476,14.7
166,1766.812,25.0
167,1858.832,20.8
168,609.31,20.7
169,1879.832,19.8
170,316.022,11.0
171,779.456,21.3
172,826.484,19.0
173,629.208,19.5
174,1218.619,18.2
175,1056.568,18.7
176,1238.569,22.8
177,632.417,20.1
178,1798.818,22.5
180,1110.479,23.2
181,593.263,23.1
182,1007.461,20.8
183,1786.81,22.0
185,635.09,9.5
186,794.468,17.1
187,1756.791,21.8
188,1903.839,24.3
189,1879.032,21.4
191,1814.812,20.9
194,1798.809,21.8
196,1963.868,24.2
197,245.092,10.8
198,1464.691,16.1
199,799.1,10.7
202,1803.81,19.9
203,748.465,18.2
204,517.078,15.5
206,1016.471,20.2
207,779.456,25.9
208,1829.891,24.7
209,611.159,8.1
210,1728.769,23.6
211,447.091,12.5
212,1802.808,21.8
213,395.139,16.3
214,1161.32,18.9
215,1889.848,20.0
216,787.096,10.9
217,944.913,19.8
218,211.135,20.0
219,1089.001,20.4
220,484.08,10.8
222,1916.849,24.9
223,780.481,19.1
224,1048.482,20.3
225,1729.861,24.1
227,968.518,25.6
228,1395.638,17.7
229,667.149,12.9
230,307.189,22.3
231,609.147,11.1
232,1599.702,17.4
234,1828.818,23.7
235,1816.81,21.0
236,1814.86,24.8
