CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
288	3853	1	0.8556	-290.078
1098	2412	1	0.8898	-160.537
1986	10917	1	0.985	0.503
2742	10778	1	0.8796	-81.018
3147	6855	1	0.8886	159.526
4206	4824	1	0.8671	-76.022
3712	4377	1	0.8822	76.008
438	11300	1	0.8913	-290.576
2966	8469	1	0.8413	-16.003
4546	5785	1	0.8424	144.031
678	1826	1	0.919	-16.013
4180	5388	1	0.8405	215.033
2643	4933	1	0.8644	157.539
438	4944	1	0.8818	-64.014
3355	3752	1	0.9228	-226.045
5785	6492	1	0.8429	-212.054
3627	4269	1	0.8684	76.027
4690	10917	1	0.8715	-143.528
1338	10778	1	0.8665	225.557
1495	5119	1	0.8742	-212.054
4051	6236	1	0.9683	-144.534
2673	3853	1	0.8931	65.518
255	10222	1	0.8762	-290.074
2643	2744	1	0.9279	157.539
438	8152	1	0.8678	-289.566
2551	6364	1	0.864	-290.074
4690	5891	1	0.8455	-279.564
1906	1939	1	0.8466	-275.028
3646	11300	1	0.8508	-146.546
6643	7178	1	0.8995	76.530
4266	6648	1	0.8411	144.031
2103	5000	1	0.93	-1.006
1213	2551	1	0.9483	0.000
3853	10778	1	0.845	225.059
1354	2085	1	0.8552	68.023
1604	2412	1	0.9083	-160.039
261	6571	1	0.9689	-1.001
1643	10222	1	0.8668	-229.590
1338	3147	1	0.8903	-160.039
2643	10984	1	0.8719	301.570
1338	5584	1	0.8893	-225.063
5779	6648	1	0.8474	0.000
10778	11316	1	0.8535	81.028
3977	6364	1	0.8476	-289.063
1507	1537	1	0.8692	0.000
1891	6364	1	0.878	-1.001
1098	11300	1	0.9052	-0.498
1604	2996	1	0.8873	81.521
1047	11300	1	0.9097	-65.523
1643	8152	1	0.8659	-163.560
1906	11083	1	0.8415	-112.014
1604	10778	1	0.8473	225.557
2966	10984	1	0.8766	-81.023
2673	5584	1	0.856	-160.044
4944	11316	1	0.8486	80.022
438	3541	1	0.8585	65.020
4266	6492	1	0.8584	0.000
251	4690	1	0.8558	0.508
1986	2681	1	0.8432	449.600
1927	3082	1	0.8715	-142.527
1076	4180	1	0.8467	1.011
1495	4313	1	0.8654	-15.994
2451	6364	1	0.8883	-1.509
2679	6865	1	0.9225	-438.554
899	4051	1	0.8434	7.995
1643	2996	1	0.8566	-83.049
2966	3426	1	0.8451	-144.040
3201	5119	1	0.8491	-76.003
1825	10795	1	0.9495	-0.005
4387	6236	1	0.8498	81.013
1495	5779	1	0.8679	76.008
909	6571	1	0.9655	-1.001
4387	6364	1	0.8698	-216.552
3646	4721	1	0.8861	16.018
1584	4293	1	0.8608	226.524
4721	6970	1	0.9272	-0.517
1986	6571	1	0.8839	-145.540
1900	5138	1	0.9035	-220.039
2803	4206	1	0.8844	-76.003
1604	11300	1	0.9243	0.000
2643	3426	1	0.8739	238.552
1248	5683	1	0.9454	64.517
3753	3833	1	0.8639	290.572
4608	10619	1	0.923	0.005
4269	5516	1	0.8847	10.979
255	1643	1	0.9009	-60.483
2643	3646	1	0.9006	157.539
1626	4944	1	0.8935	1.011
3082	4721	1	0.8554	142.527
1213	4380	1	0.8795	70.509
1927	2996	1	0.9098	-81.042
5019	6534	1	0.8987	67.525
288	2643	1	0.8447	-301.570
4313	4546	1	0.8561	15.994
1884	3147	1	0.9278	-225.059
4546	5119	1	0.8668	-212.054
4740	5779	1	0.868	-68.023
2681	10917	1	0.8492	-449.097
776	1107	1	0.9254	-5.973
1248	8469	1	0.85	195.059
1098	2643	1	0.9194	-11.491
6872	7707	1	0.8407	2.031
4266	6865	1	0.8428	-441.083
251	1826	1	0.8995	-16.013
4269	4313	1	0.864	236.028
1338	2744	1	0.9015	146.546
438	10222	1	0.8709	-355.596
2412	5584	1	0.9128	-65.024
255	2996	1	0.8505	-143.533
4206	4293	1	0.8557	-230.045
2679	2762	1	0.9005	-149.482
2673	3147	1	0.8488	-95.019
4266	5019	1	0.888	-144.031
251	678	1	0.8859	0.000
3790	4293	1	0.8637	-154.023
7843	10917	1	0.8945	73.019
2744	3833	1	0.8929	81.013
2679	4608	1	0.8861	214.583
3753	4721	1	0.8946	225.576
1884	2744	1	0.8841	81.526
2762	4266	1	0.8607	152.011
438	1626	1	0.9063	-65.024
2673	8152	1	0.9312	66.030
10917	11083	1	0.8451	-145.042
5683	10778	1	0.9426	0.503
255	5683	1	0.9209	0.000
899	4387	1	0.924	-217.553
1047	3646	1	0.864	81.023
4721	4933	1	0.8621	-16.018
2742	3646	1	0.8567	-160.030
678	11028	1	0.9155	-1.001
4163	5119	1	0.8651	-68.023
1283	6344	1	0.8554	-225.557
899	2085	1	0.8864	68.023
4266	4377	1	0.8477	144.031
1107	1906	1	0.9197	-24.036
4269	10525	1	0.8891	228.033
2643	3753	1	0.8964	-52.020
4933	6970	1	0.8573	15.500
3712	11490	1	0.854	-220.024
5779	5785	1	0.8588	68.023
3712	5119	1	0.8615	-212.054
1283	3753	1	0.8767	162.051
3746	4206	1	0.848	-2.994
1338	2643	1	0.9563	-10.993
2679	7667	1	0.9327	70.552
1927	2966	1	0.8991	209.036
2744	10984	1	0.8528	144.031
150	1946	1	0.8584	0.038
1604	1626	1	0.8592	225.552
288	5683	1	0.9246	-65.523
3790	10025	1	0.8823	-77.028
