Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	sample	IngA_acuminata	IngC_cocleensis	IngF_laurina	IngG_goldmanii	IngM_marginata	IngMu_thibaudiana	IngO_oerstediana	IngP_pezizifera.aff	IngPu_punctata	IngQ_nobilis	IngR_ruiziana	IngS_sapindoides	IngU_umbellifera	IngV_vera	LA1_edulis	LA10_umbellifera	LA12_capitata12	LA13_cylindrica	LA17_LA17	LA18_pitmanii	LA19_pitmanii	LA2_heterophylla	LA20a_nobilis	LA20b_nobilis	LA22_bourgonii	LA23_alata	LA25_acreana	LA26_setosa	LA28_venusta	LA3_alba	LA31_spectabilis	LA32_brachystachys.aff	LA33_capitata33	LA34_tenuistipula	LA35_capitata35	LA36_lateriflora	LA4_thibaudiana	LA41_LA41	LA42_fosteriana	LA43_marginata	LA44_suaveolens	LA45_sapindoides	LA46_tomentosa	LA48_LA48	LA49_ruiziana	LA55_edulis	LA59_coruscans	LA6_punctata	LA60_laurina	LA61_ingoides	LA7_leiocalycina	LA8_auristellae	LA9_poeppigiana	M14_leiocalycina	M15_grandiflora	M16_rubiginosa	M18_M18	M24_cayennensis	M25_M25	M26_glomeriflora	M27b_M27b	M28_paraensis	M29_alba	M31_venusta	M32_thibaudiana	M36_auristellae	M39b_gracilifolia	M4_obidensis	M40a_pezizifera	M40d_pezizifera	M5_lateriflora	M51_pezizifera	M57_capitata12	M59_lomatophylla	M60_M18	M61_brevialata	M63_umbellifera	M68_heterophylla	M69_splendens	M70_cordatoalata	M71_M71	M8_M30	M9_stipularis	N1_striata	N10_capitata35	N11_cayennensis	N12_cinnamomea	N13_cylindrica	N14_edulis	N15_fastuosa	N16_flagelliformis	N18_gracilifolia	N19_grandiflora	N20_huberi	N21_jenmanii	N22_acreana	N23_capitata12	N24_lateriflora	N25_laurina	N26_leiocalycina	N27_lomatophylla	N28_longiflora	N29_longipedunculata	N3_acrocephala	N30_loubryana	N31_marginata	N32_melinonis	N34_nouragensis	N35_paraensis	N36_pezizifera	N37_poeppigiana	N38_retinocarpa	N39_rubiginosa	N4_alata	N40_splendens	N41_stipularis	N42_thibaudiana	N46_virgultosa	N5_alba	N50_Zygia mediana	N53_sapindoides	N54_pezizifera	N6_auristellae	N65_umbellifera	N66_umbellifera.aff	N67_umbellifera	N7_bourgonii	N8_brachystachys	N9_brevipes	T05_sapindoides	T07_nobilis	T09_venusta	T11_vismiifolia	T12_velutina	T18_T18	T19_cylindrica	T20_laurina	T21a_T21	T22_tenuistipula	T23_sertulifera	T25_multinervis	T29_T29	T33_capitata33	T35_brachyrhachis.aff	T50_T50	T51_T51	T55_kursarii	T56_acreana	T57_alata	T58_alba	T59_auristellae	T60_bourgonii	T62_aria	T63_subcapitata	T64_cordatoalata	T65_leiocalycina.aff	T67a_edulis	T67b_edulis	T68_punctata	T69_ruiziana	T70_spectabilis	T71_thibaudiana	T72_microcoma	T73_umbellifera	T74_umbratica	T76_Zygia mediana	T82_T82	T84_cinnamomea	T85_T85	T86_leiocalycina
FT2	824.482049			1134.03			12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3883596.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373192.5	0	0	1018137.8	0	0	0	0	0	0	0	0	6108420.7	0	0	0	0	0	0	0	0	0	0	0	0	0	4994426.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435202679.5	0	0	7767456.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230563877	0	0	0	0	0	0	0	0	0	0	0	5300000.8	0	0	0	0	0	9462034.6	0	0	0	0	0	0	3110990	0	0	4998536.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT3	193.01477			492.02			6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20826350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6812175	77812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161412569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60156732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT5	778.473984			1266.03			6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24960120.6	0	0	246579.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9274774.3	0	0	0	0	0	0	0	0	0	0	0	374176.8	0	0	0	0	0	393682.7	0	0	0	0	0	0	0	0	0	65466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT6	1144.560229			1035.03			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141126456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT7	1003.518326			1035.03			9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99957.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165388769	0	0	1503786.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9579458.2	0	0	0	0	0	0	0	0	0	0	0	711338	0	0	0	0	0	994151	0	0	0	0	0	0	1484026	0	0	583346.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT8	970.534304			1188.03			10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1709134.6	0	0	0	0	0	0	13272607.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694042.2	0	0	0	0	0	0	0	0	2695996.7	0	0	0	0	0	0	0	0	0	0	0	0	0	929783.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11131685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82932119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1064633	0	0	0	0	0	0	27199487.3	0	0	1366023.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT9	866.490454			1506.04			12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107901	0	0	0	0	69986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794317.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200848.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35256803	0	0	448034.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242065.5	0	0	0	125397.5	0	0	0	0	0	0	0	205026.5	0	0	0	0	0	758452.7	0	0	0	0	0	0	0	0	0	168778.4	317496.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT11	671.216036			1230.03			2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36135564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73491823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT12	647.088745			549.02			12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2528883	0	0	0	0	435234	0	0	0	0	0	0	0	0	0	0	8185320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554746.2	0	0	0	0	0	0	0	0	0	0	4258915	0	0	0	0	0	0	0	0	0	0	0	11632836	0	0	0	0	0	0	0	0	0	0	0	2546521.5	0	0	0	0	0	0	0	0	0	0	0	653344.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198778356.3	162724735	0	0	0	0	262167593.5	0	0	0	0	0	0	0	0	0	0	0	3096222.2	0	0	0	0	0	0	0	0	0
FT13	1690.817985			1458.03			2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	978045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6799998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT14	245.0822			522.02			4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27650083	0	0	0	0	0	0	0	0	0	0	0	197299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608068	0	488904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT15	671.216036			1230.03			2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16004170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46110540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT16	778.473984			1137.03			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184525968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FT17	632.416939			1044.03			3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575019852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6393589	0	0	0	0	0	9571272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
