row ID,row m/z,row retention time
2,824.482,1134.0
3,193.015,492.0
5,778.474,1266.0
6,1144.56,1035.0
7,1003.518,1035.0
8,970.534,1188.0
9,866.49,1506.0
11,671.216,1230.0
12,647.089,549.0
13,1690.818,1458.0
14,245.082,522.0
15,671.216,1230.0
16,778.474,1137.0
17,632.417,1044.0
18,820.482,1257.0
19,749.447,1305.0
21,797.466,1029.0
22,343.067,417.0
23,632.417,951.0
24,1012.547,1383.0
25,795.455,1137.0
26,541.177,1074.0
27,866.457,1149.0
28,970.534,1107.0
29,922.514,1530.0
30,794.468,885.0
31,581.164,930.0
32,779.456,1236.0
33,1452.702,942.0
34,1721.809,1539.0
35,850.458,1275.0
36,951.111,711.0
37,1773.858,1443.0
39,1730.858,1344.0
41,649.096,552.0
42,1799.819,1332.0
43,671.216,1026.0
44,1051.96,1251.0
45,764.458,957.0
48,1452.683,1014.0
49,449.108,693.0
50,757.154,552.0
51,1063.48,1248.0
52,1905.842,1338.0
53,1682.78,1158.0
54,778.474,1137.0
55,671.216,1026.0
56,1306.64,1086.0
57,327.217,1116.0
58,893.362,1563.0
59,1889.848,1248.0
60,952.524,1482.0
61,1770.821,1323.0
62,623.067,858.0
63,755.147,552.0
64,836.481,1230.0
65,171.1,1275.0
66,169.012,531.0
68,1128.59,1290.0
69,881.153,705.0
70,411.133,714.0
71,1043.539,1476.0
73,1482.692,1026.0
75,629.112,735.0
76,317.028,807.0
77,305.068,783.0
78,465.068,720.0
79,797.466,1194.0
80,647.089,648.0
81,850.492,1452.0
82,209.119,1269.0
83,841.477,1176.0
84,1055.48,1251.0
85,941.507,1407.0
86,778.474,1266.0
87,1668.77,1113.0
88,441.08,666.0
89,1084.489,1281.0
91,1132.59,1116.0
92,863.367,1236.0
93,986.533,1044.0
94,609.085,657.0
95,495.078,327.0
96,169.012,102.0
97,1468.691,939.0
98,1626.761,1068.0
99,866.49,1317.0
100,1440.688,993.0
101,1813.83,1341.0
103,573.275,1320.0
104,1540.728,1149.0
105,1709.82,1122.0
106,1817.83,1257.0
107,579.147,1245.0
108,793.352,1041.0
109,955.489,1167.0
110,1088.508,1230.0
112,471.056,705.0
113,1872.848,1311.0
114,1060.462,1257.0
115,1070.569,1257.0
116,1552.732,1062.0
117,1724.798,1269.0
118,1252.589,1434.0
119,1860.811,1422.0
120,658.431,1158.0
122,321.023,531.0
123,289.069,423.0
124,1742.799,1122.0
125,1714.802,1101.0
126,593.263,1383.0
127,867.908,1449.0
129,382.987,1353.0
133,824.482,1134.0
134,938.508,1278.0
135,573.064,531.0
136,808.483,1233.0
137,305.293,234.0
138,433.114,765.0
139,1101.551,1242.0
141,343.067,171.0
142,1082.491,1287.0
143,856.47,1008.0
144,1100.559,1008.0
145,1803.81,1311.0
146,1254.05,1383.0
147,729.146,588.0
148,678.133,510.0
149,765.44,1044.0
150,577.135,495.0
151,1336.649,1086.0
152,601.119,837.0
153,1871.9,1545.0
155,658.431,1620.0
156,1828.818,1341.0
157,435.092,603.0
159,1008.481,1257.0
161,827.485,1449.0
162,332.074,546.0
163,206.082,582.0
164,332.074,396.0
165,840.476,879.0
166,1766.812,1500.0
167,1858.832,1245.0
168,609.31,1239.0
169,1879.832,1185.0
170,316.022,657.0
171,779.456,1275.0
172,826.484,1137.0
173,629.208,1167.0
174,1218.619,1089.0
175,1056.568,1119.0
176,1238.569,1368.0
177,632.417,1203.0
178,1798.818,1350.0
180,1110.479,1389.0
181,593.263,1383.0
182,1007.461,1245.0
183,1786.81,1317.0
185,635.09,567.0
186,794.468,1026.0
187,1756.791,1305.0
188,1903.839,1455.0
189,1879.032,1281.0
191,1814.812,1251.0
192,1103.97,1305.0
194,1798.809,1308.0
195,1208.54,1344.0
196,1963.868,1449.0
197,245.092,645.0
198,1464.691,966.0
199,799.1,642.0
202,1803.81,1191.0
203,748.465,1089.0
204,517.078,930.0
206,1016.471,1212.0
207,779.456,1551.0
208,1829.891,1482.0
209,611.159,483.0
210,1728.769,1413.0
211,447.091,747.0
212,1802.808,1305.0
213,395.139,978.0
214,1161.32,1131.0
215,1889.848,1200.0
216,787.096,654.0
217,944.913,1188.0
218,211.135,1200.0
219,1089.001,1221.0
220,484.08,645.0
221,609.267,1332.0
222,1916.849,1491.0
223,780.481,1146.0
224,1048.482,1218.0
225,1729.861,1443.0
227,968.518,1533.0
228,1395.638,1059.0
229,667.149,771.0
230,307.189,1338.0
231,609.147,663.0
232,1599.702,1044.0
234,1828.818,1419.0
235,1816.81,1257.0
236,1814.86,1485.0
237,1772.789,1371.0
238,841.477,1032.0
239,611.14,771.0
240,1019.958,1422.0
241,779.456,1140.0
242,1275.059,1398.0
243,602.125,492.0
244,823.486,1506.0
245,602.125,567.0
246,625.045,705.0
247,1728.788,1149.0
248,440.098,675.0
249,541.177,1029.0
250,429.047,732.0
251,577.135,405.0
252,629.208,1029.0
253,1192.571,1410.0
254,1494.691,1557.0
255,805.715,1038.0
256,1214.547,1383.0
257,1452.683,930.0
260,951.111,711.0
261,865.197,564.0
263,1178.56,1407.0
264,675.144,627.0
265,635.157,642.0
266,1844.822,1338.0
267,647.089,546.0
268,1185.558,1440.0
269,1698.779,1074.0
270,1090.012,1254.0
271,761.493,423.0
272,1832.823,1155.0
273,477.101,633.0
274,595.146,1077.0
275,621.05,870.0
277,1846.829,1254.0
278,1334.637,1491.0
279,1840.822,1452.0
280,1086.582,1116.0
282,465.102,588.0
283,1859.838,1308.0
284,609.085,525.0
285,635.09,567.0
286,1254.079,1413.0
287,587.103,678.0
288,740.192,789.0
289,1086.582,996.0
290,1959.868,1521.0
291,1075.991,1149.0
293,293.212,1581.0
294,1710.859,1470.0
295,615.096,648.0
297,1873.849,1320.0
298,1238.569,1389.0
299,303.276,876.0
300,1500.741,1491.0
301,632.417,1044.0
302,464.091,660.0
303,1106.518,1473.0
304,1642.779,1113.0
305,287.22,1221.0
306,363.075,552.0
307,536.272,1194.0
308,691.353,1362.0
309,1924.858,1293.0
310,483.079,432.0
311,711.208,1266.0
312,1065.472,1344.0
313,1425.653,1167.0
314,1969.889,1359.0
315,1247.579,1389.0
316,289.069,516.0
317,836.907,1551.0
318,746.836,1023.0
319,1426.692,930.0
320,755.161,675.0
321,1538.711,978.0
322,1121.568,930.0
323,1031.281,861.0
324,881.153,750.0
325,794.468,885.0
326,1690.818,1389.0
327,1200.043,1419.0
328,180.067,78.0
329,1640.738,1326.0
330,1945.848,1491.0
331,1246.089,1434.0
332,753.202,1047.0
333,1245.582,1389.0
334,147.031,87.0
335,1274.599,1521.0
336,1044.478,1389.0
337,1452.702,1053.0
338,1089.499,1290.0
339,609.123,867.0
340,463.085,663.0
341,1064.969,1350.0
342,1494.72,1152.0
343,283.278,1365.0
344,1110.508,1323.0
346,1556.731,1011.0
347,1960.86,1377.0
348,1800.821,1110.0
349,911.497,1488.0
350,1606.758,1164.0
351,1898.872,1086.0
352,759.118,609.0
353,207.078,405.0
354,1979.871,1449.0
355,836.481,1554.0
356,1646.798,1407.0
357,1395.15,1470.0
358,1516.768,1407.0
359,1941.939,1518.0
360,1290.062,1377.0
361,1179.048,1419.0
362,912.499,1080.0
363,1113.511,1212.0
364,1408.672,1503.0
365,1077.49,1221.0
366,1191.522,1344.0
367,1201.581,1452.0
368,1202.63,993.0
369,163.039,591.0
370,732.346,1230.0
371,1116.51,1239.0
372,1756.791,1299.0
373,730.148,585.0
374,671.216,1230.0
375,791.479,1554.0
376,1760.781,1263.0
377,986.533,1041.0
378,955.489,1299.0
379,1418.697,1512.0
380,1858.832,1338.0
381,767.107,885.0
383,1073.472,1392.0
384,1245.582,1392.0
